Tamanho,Exec. Time,No Exec.,Total Stalls,Serial Stalls,Bad Spec,FE Bound,BE Bound,Branch MSP
2000000,4333107998,1.452.735.136,19.383.980.033,10.651.020.618,5.1,40.2,52.0,5.1
2000000,4407635505,1.478.275.099,19.715.052.472,10.843.505.362,5.1,40.6,52.0,5.1
2000000,4296492952,1.440.530.214,19.225.333.953,10.573.334.038,5.1,40.2,52.3,5.1
2000000,4566791195,1.530.869.099,20.431.073.888,11.252.562.324,5.1,40.6,52.0,5.1
2000000,4300483464,1.440.530.990,19.234.367.216,10.570.477.374,5.1,40.8,51.8,5.1
2000000,4226232653,1.412.440.055,18.877.419.197,10.366.589.474,5.1,40.2,52.3,5.1
2000000,4669483730,1.563.609.348,20.891.097.757,11.527.292.262,5.1,40.4,52.2,5.1
2000000,4282213233,1.436.410.483,19.148.895.801,10.514.720.441,5.1,40.2,52.3,5.1
2000000,4925333806,1.646.831.933,22.006.442.552,12.146.944.156,5.1,40.4,52.2,5.1
2000000,4371170701,1.460.747.682,19.525.017.523,10.733.600.522,5.1,40.6,52.0,5.1
2000000,4399795777,1.473.600.097,19.660.210.272,10.814.335.445,5.1,40.4,52.2,5.1
2000000,4322764266,1.451.669.037,19.342.152.030,10.624.247.668,5.1,40.6,52.0,5.1
2000000,4614081879,1.545.402.923,20.646.970.848,11.384.420.398,5.1,40.4,52.2,5.1
2000000,4259613432,1.426.213.975,19.051.398.079,10.472.452.245,5.1,40.8,51.8,5.1
2000000,4410626925,1.480.071.847,19.738.728.756,10.855.500.630,5.1,40.4,52.2,5.1
2000000,4544252872,1.522.754.451,20.317.104.195,11.186.561.807,4.7,40.8,52.2,4.7
2000000,4396003319,1.472.433.936,19.659.760.774,10.818.462.801,5.1,40.8,51.8,5.1
2000000,4325892991,1.451.289.650,19.346.945.352,10.634.096.934,5.1,40.6,52.0,5.1
2000000,4460344797,1.498.218.383,19.976.297.249,10.971.318.933,5.1,39.8,52.3,5.1
